bn:00000001n	08641944n
bn:00110095a	01369274a
bn:00110096a	03020884a
bn:00110097a	00314794a
bn:00110098a	03020750a
bn:00110099a	00314927a
bn:00110100a	03113705a
bn:00110101a	02079029a
bn:00110102a	03007718a
bn:00110103a	02791943a
bn:00110104a	03007826a
bn:00110105a	03025403a
bn:00110106a	02079830a
bn:00110107a	02792214a
bn:00110108a	02792080a
bn:00110109a	02930503a
bn:00110110a	00950119a
bn:00110111a	02078264a
bn:00110112a	02078011a
bn:00110113a	00282675a
bn:00110114a	02080110a
bn:00110115a	02080577a
bn:00110116a	00589344a
bn:00110117a	00757236a
bn:00110118a	02080318a
bn:00110119a	03113881a
bn:00110120a	00537073a
bn:00110121a	03114139a
bn:00110122a	00618493a
bn:00110123a	01451498a
bn:00110124a	02421919a
bn:00110125a	01627836a
bn:00110126a	02242697a
bn:00110127a	01436791a
bn:00110128a	00258899a
bn:00110129a	03114359a
bn:00110130a	03114508a
bn:00110131a	02242798a
bn:00110132a	00426068a
bn:00110133a	02083222a
bn:00110134a	03134979a
bn:00110135a	03134771a
bn:00110136a	00147160a
bn:00110137a	00144598a
bn:00110138a	00147659a
bn:00110139a	00450269a
bn:00110140a	02792424a
bn:00110141a	02792326a
bn:00110142a	03141756a
bn:00110143a	00320177a
bn:00110144a	02101942a
bn:00110145a	02485168a
bn:00110146a	01703797a
bn:00110147a	02792550a
bn:00110148a	02792661a
bn:00110149a	00016756a
bn:00110150a	00990053a
bn:00110151a	00383429a
bn:00110152a	00383521a
bn:00110153a	01480684a
bn:00110154a	00648614a
bn:00110155a	00426186a
bn:00110156a	00542099a
bn:00110157a	00776192a
bn:00110158a	00220600a
bn:00110159a	02792789a
bn:00110160a	01058179a
bn:00110161a	01057103a
bn:00110162a	01058281a
bn:00110163a	01058029a
bn:00110164a	02366716a
bn:00110165a	03115053a
bn:00110166a	03115277a
bn:00110167a	01585892a
bn:00110168a	02077741a
bn:00110169a	02083615a
bn:00110170a	02792903a
bn:00110171a	02793094a
bn:00110172a	00528495a
bn:00110173a	02841919a
bn:00110174a	02841776a
bn:00110175a	02793273a
bn:00110176a	02084804a
bn:00110177a	01336231a
bn:00110178a	00320255a
bn:00110179a	02793513a
bn:00110180a	02793394a
bn:00110181a	02992070a
bn:00110182a	03115436a
bn:00110183a	00736511a
bn:00110184a	01249843a
bn:00110185a	03024647a
bn:00110186a	03115598a
bn:00110187a	02574294a
bn:00110188a	02426270a
bn:00110189a	01669774a
bn:00110190a	00084661a
bn:00110191a	00578662a
bn:00110192a	02347915a
bn:00110193a	01214606a
bn:00110194a	01512909a
bn:00110195a	02102178a
bn:00110196a	02077904a
bn:00110197a	02441990a
bn:00110198a	01627166a
bn:00110199a	02213270a
bn:00110200a	02938361a
bn:00110201a	02285854a
bn:00110202a	02546526a
bn:00110203a	01550304a
bn:00110204a	00222272a
bn:00110205a	03098096a
bn:00110206a	01289607a
bn:00110207a	00418809a
bn:00110208a	02583271a
bn:00110209a	02085449a
bn:00110210a	02924286a
bn:00110211a	00422870a
bn:00110212a	02793681a
bn:00110213a	02793793a
bn:00110214a	00383607a
bn:00110215a	01524562a
bn:00110216a	00259011a
bn:00110217a	02086667a
bn:00110218a	02089943a
bn:00110219a	01760847a
bn:00110220a	01739898a
bn:00110221a	01697318a
bn:00110222a	01566476a
bn:00110223a	02253964a
bn:00110224a	02254264a
bn:00110225a	02237978a
bn:00110226a	00464845a
bn:00110227a	02254088a
bn:00110228a	01984806a
bn:00110229a	01336371a
bn:00110230a	00878362a
bn:00110231a	00618584a
bn:00110232a	00648543a
bn:00110233a	01494586a
bn:00110234a	01661529a
bn:00110235a	01494273a
bn:00110236a	01494959a
bn:00110237a	00936523a
bn:00110238a	01240029a
bn:00110239a	00463580a
bn:00110240a	02087956a
bn:00110241a	02368247a
bn:00110242a	01016436a
bn:00110243a	00229130a
bn:00110244a	02348140a
bn:00110245a	01854935a
bn:00110246a	01015599a
bn:00110247a	01853461a
bn:00110248a	01857956a
bn:00110249a	01473558a
bn:00110250a	00793592a
bn:00110251a	01854702a
bn:00110252a	01640482a
bn:00110253a	02090069a
bn:00110254a	00028984a
bn:00110255a	01707404a
bn:00110256a	01706986a
bn:00110257a	00416045a
bn:00110258a	02794123a
bn:00110259a	02794253a
bn:00110260a	02794372a
bn:00110261a	02091574a
bn:00110262a	02943771a
bn:00110263a	02482644a
bn:00110264a	02409095a
bn:00110265a	02794543a
bn:00110266a	02793988a
bn:00110267a	02577061a
bn:00110268a	01782854a
bn:00110269a	02093305a
bn:00110270a	02093888a
bn:00110271a	02095311a
bn:00110272a	00689336a
bn:00110273a	00034572a
bn:00110274a	00210079a
bn:00110275a	02952109a
bn:00110276a	02097268a
bn:00110277a	02515341a
bn:00110278a	02254778a
bn:00110279a	02256209a
bn:00110280a	02255608a
bn:00110281a	02255487a
bn:00110282a	01832245a
bn:00110283a	02256082a
bn:00110284a	02255069a
bn:00110285a	02158731a
bn:00110286a	00088328a
bn:00110287a	02482790a
bn:00110288a	01326917a
bn:00110289a	02293230a
bn:00110290a	02908366a
bn:00110291a	02123475a
bn:00110292a	00775693a
bn:00110293a	01863246a
bn:00110294a	02794670a
bn:00110295a	00102079a
bn:00110296a	00182225a
bn:00110297a	00050799a
bn:00110298a	02794853a
bn:00110299a	00179676a
bn:00110300a	00339742a
bn:00110301a	00570991a
bn:00110302a	00894435a
bn:00110303a	01200491a
bn:00110304a	00027833a
bn:00110305a	00480965a
bn:00110306a	00577698a
bn:00110307a	01636636a
bn:00110308a	00523587a
bn:00110309a	02335241a
bn:00110310a	02099442a
bn:00110311a	01632314a
bn:00110312a	02060912a
bn:00110313a	01301206a
bn:00110314a	00830508a
bn:00110315a	01658533a
bn:00110316a	01619604a
bn:00110317a	00871690a
bn:00110318a	02099561a
bn:00110319a	02282376a
bn:00110320a	00181162a
bn:00110321a	02520925a
bn:00110322a	02795013a
bn:00110323a	00181264a
bn:00110324a	01299687a
bn:00110325a	02795109a
bn:00110326a	00182418a
bn:00110327a	00283060a
bn:00110328a	02332704a
bn:00110329a	02795262a
bn:00110330a	00688413a
bn:00110331a	00810164a
bn:00110332a	02795399a
bn:00110333a	00589448a
bn:00110334a	01776845a
bn:00110335a	00054541a
bn:00110336a	01832341a
bn:00110337a	02098918a
bn:00110338a	02795489a
bn:00110339a	01918001a
bn:00110340a	00729439a
bn:00110341a	00729647a
bn:00110342a	01099348a
bn:00110343a	00952307a
bn:00110344a	00182510a
bn:00110345a	02098325a
bn:00110346a	02970360a
bn:00110347a	02842042a
bn:00110348a	01970136a
bn:00110349a	01237162a
bn:00110350a	02554019a
bn:00110351a	01237254a
bn:00110352a	01952301a
bn:00110353a	01239617a
bn:00110354a	03026244a
bn:00110355a	01237342a
bn:00110356a	02389649a
bn:00110357a	01981583a
bn:00110358a	00124493a
bn:00110359a	02553902a
bn:00110360a	02795640a
bn:00110361a	00182639a
bn:00110362a	02998844a
bn:00110363a	02316718a
bn:00110364a	00573008a
bn:00110365a	00558019a
bn:00110366a	00571291a
bn:00110367a	00276226a
bn:00110368a	00160957a
bn:00110369a	00860254a
bn:00110370a	01152453a
bn:00110371a	02262293a
bn:00110372a	00830630a
bn:00110373a	01422354a
bn:00110374a	01422468a
bn:00110375a	02795804a
bn:00110376a	02795925a
bn:00110377a	00459881a
bn:00110378a	01633490a
bn:00110379a	00434524a
bn:00110380a	02796042a
bn:00110381a	02796194a
bn:00110382a	01772512a
bn:00110383a	01815030a
bn:00110384a	02501820a
bn:00110385a	01860765a
bn:00110386a	01862055a
bn:00110387a	01026911a
bn:00110388a	01024002a
bn:00110389a	02230324a
bn:00110390a	01154886a
bn:00110391a	02260847a
bn:00110392a	03115693a
bn:00110393a	02810316a
bn:00110394a	03115874a
bn:00110395a	00499920a
bn:00110396a	00432626a
bn:00110397a	02929216a
bn:00110398a	02796301a
bn:00110399a	03038065a
bn:00110400a	03116043a
bn:00110401a	02099774a
bn:00110402a	00117654a
bn:00110403a	02101580a
bn:00110404a	02796425a
bn:00110405a	02102484a
bn:00110406a	01748152a
bn:00110407a	00191265a
bn:00110408a	02108198a
bn:00110409a	02103481a
bn:00110410a	02105990a
bn:00110411a	00416164a
bn:00110412a	02108665a
bn:00110413a	02894436a
bn:00110414a	02894327a
bn:00110415a	01257145a
bn:00110416a	00070427a
bn:00110417a	02109448a
bn:00110418a	02991690a
bn:00110419a	01851118a
bn:00110420a	00571424a
bn:00110421a	02449287a
bn:00110422a	02796588a
bn:00110423a	02109678a
bn:00110424a	01327371a
bn:00110425a	00542282a
bn:00110426a	00565565a
bn:00110427a	00469170a
bn:00110428a	02796711a
bn:00110429a	02998669a
bn:00110430a	02115187a
bn:00110431a	01604945a
bn:00110432a	02219876a
bn:00110433a	02796854a
bn:00110434a	01327574a
bn:00110435a	02870846a
bn:00110436a	02963942a
bn:00110437a	01468552a
bn:00110438a	00461195a
bn:00110439a	01065614a
bn:00110440a	02797257a
bn:00110441a	02797021a
bn:00110442a	03116224a
bn:00110443a	01267480a
bn:00110444a	02118379a
bn:00110445a	01279611a
bn:00110446a	02123314a
bn:00110447a	00748359a
bn:00110448a	02119971a
bn:00110449a	02987760a
bn:00110450a	03116391a
bn:00110451a	02316820a
bn:00110452a	00503020a
bn:00110453a	02247938a
bn:00110454a	02123812a
bn:00110455a	02496534a
bn:00110456a	01835843a
bn:00110457a	00790086a
bn:00110458a	01066226a
bn:00110459a	03137260a
bn:00110460a	01851330a
bn:00110461a	00159975a
bn:00110462a	00159498a
bn:00110463a	02493300a
bn:00110464a	02129259a
bn:00110465a	02125797a
bn:00110466a	00303480a
bn:00110467a	01441965a
bn:00110468a	00238636a
bn:00110469a	02268268a
bn:00110470a	02068174a
bn:00110471a	01513050a
bn:00110472a	01301316a
bn:00110473a	01129185a
bn:00110474a	02254172a
bn:00110475a	02887266a
bn:00110476a	02887399a
bn:00110477a	02134896a
bn:00110478a	01646646a
bn:00110479a	02887115a
bn:00110480a	02135692a
bn:00110481a	02134802a
bn:00110482a	00286063a
bn:00110483a	02135213a
bn:00110484a	02135138a
bn:00110485a	02219770a
bn:00110486a	02887578a
bn:00110487a	02135389a
bn:00110488a	02131072a
bn:00110489a	03116517a
bn:00110490a	01228159a
bn:00110491a	01892830a
bn:00110492a	00276472a
bn:00110493a	00277550a
bn:00110494a	00276862a
bn:00110495a	00626483a
bn:00110496a	02242887a
bn:00110497a	00590782a
bn:00110498a	03144546a
bn:00110499a	03027335a
bn:00110500a	02304565a
bn:00110501a	00691696a
bn:00110502a	00693356a
bn:00110503a	01875227a
bn:00110504a	03135608a
bn:00110505a	03135786a
bn:00110506a	03135937a
bn:00110507a	01538690a
bn:00110508a	00154837a
bn:00110509a	00155720a
bn:00110510a	03136057a
bn:00110511a	02142306a
bn:00110512a	02138659a
bn:00110513a	02152216a
bn:00110514a	02099651a
bn:00110515a	01804728a
bn:00110516a	01214430a
bn:00110517a	00803038a
bn:00110518a	00800826a
bn:00110519a	01577973a
bn:00110520a	01144230a
bn:00110521a	00842810a
bn:00110522a	02049147a
bn:00110523a	01414740a
bn:00110524a	01607744a
bn:00110525a	03136162a
bn:00110526a	00802960a
bn:00110527a	01811172a
bn:00110528a	00802844a
bn:00110529a	00736671a
bn:00110530a	01453984a
bn:00110531a	00710097a
bn:00110532a	02153472a
bn:00110533a	03027213a
bn:00110534a	02154422a
bn:00110535a	00663807a
bn:00110536a	02154756a
bn:00110537a	02329075a
bn:00110538a	00208872a
bn:00110539a	03136242a
bn:00110540a	02597007a
bn:00110541a	02596462a
bn:00110542a	02526611a
bn:00110543a	01885866a
bn:00110544a	02505308a
bn:00110545a	02305176a
bn:00110546a	00503664a
bn:00110547a	00105197a
bn:00110548a	00283167a
bn:00110549a	02344241a
bn:00110550a	02924739a
bn:00110551a	01757782a
bn:00110552a	02423649a
bn:00110553a	01138450a
bn:00110554a	00080861a
bn:00110555a	01254026a
bn:00110556a	00007331a
bn:00110557a	00215344a
bn:00110558a	02155936a
bn:00110559a	03136371a
bn:00110560a	02583467a
bn:00110561a	01442186a
bn:00110562a	01436003a
bn:00110563a	01444620a
bn:00110564a	01444230a
bn:00110565a	00709021a
bn:00110566a	00207133a
bn:00110567a	00628687a
bn:00110568a	01443581a
bn:00110569a	00812710a
bn:00110570a	00215468a
bn:00110571a	00052431a
bn:00110572a	03136487a
bn:00110573a	03136568a
bn:00110574a	01443733a
bn:00110575a	01437037a
bn:00110576a	01443842a
bn:00110577a	01437165a
bn:00110578a	02596342a
bn:00110579a	02387970a
bn:00110580a	00321691a
bn:00110581a	00320378a
bn:00110582a	01443402a
bn:00110583a	01437472a
bn:00110584a	02285969a
bn:00110585a	01436968a
bn:00110586a	03021693a
bn:00110587a	01454244a
bn:00110588a	00796591a
bn:00110589a	02224266a
bn:00110590a	03153653a
bn:00110591a	00713853a
bn:00110592a	00403982a
bn:00110593a	02158089a
bn:00110594a	00990442a
bn:00110595a	00883345a
bn:00110596a	02305394a
bn:00110597a	02925084a
bn:00110598a	02256437a
bn:00110599a	02337558a
bn:00110600a	00162863a
bn:00110601a	03117012a
bn:00110602a	03116809a
bn:00110603a	03116651a
bn:00110604a	03117272a
bn:00110605a	02959224a
bn:00110606a	01560165a
bn:00110607a	02441215a
bn:00110608a	03136699a
bn:00110609a	01974584a
bn:00110610a	03144729a
bn:00110611a	01235568a
bn:00110612a	02797408a
bn:00110613a	00643116a
bn:00110614a	03117503a
bn:00110615a	02158301a
bn:00110616a	02841678a
bn:00110617a	02841534a
bn:00110618a	01286239a
bn:00110619a	02160878a
bn:00110620a	00625055a
bn:00110621a	02165655a
bn:00110622a	02797550a
bn:00110623a	02166027a
bn:00110624a	01919428a
bn:00110625a	00942163a
bn:00110626a	00175123a
bn:00110627a	00174983a
bn:00110628a	02797704a
bn:00110629a	01418104a
bn:00110630a	00215564a
bn:00110631a	01703012a
bn:00110632a	00503780a
bn:00110633a	02574481a
bn:00110634a	01529053a
bn:00110635a	00283327a
bn:00110636a	00383700a
bn:00110637a	00628776a
bn:00110638a	00400826a
bn:00110639a	00391572a
bn:00110640a	00383827a
bn:00110641a	00215654a
bn:00110642a	01703106a
bn:00110643a	00147397a
bn:00110644a	00391699a
bn:00110645a	00301032a
bn:00110646a	02992241a
bn:00110647a	02071420a
bn:00110648a	02381495a
bn:00110649a	02174896a
bn:00110650a	02166346a
bn:00110651a	01793812a
bn:00110652a	02272954a
bn:00110653a	00234522a
bn:00110654a	02175267a
bn:00110655a	00750843a
bn:00110656a	02175487a
bn:00110657a	01217338a
bn:00110658a	02179279a
bn:00110659a	02811265a
bn:00110660a	02037531a
bn:00110661a	01505181a
bn:00110662a	03117835a
bn:00110663a	03117653a
bn:00110664a	03118215a
bn:00110665a	03118050a
bn:00110666a	02220571a
bn:00110667a	02213947a
bn:00110668a	01482228a
bn:00110669a	01966740a
bn:00110670a	00794146a
bn:00110671a	00207809a
bn:00110672a	00794650a
bn:00110673a	02353488a
bn:00110674a	00729776a
bn:00110675a	02221173a
bn:00110676a	02483839a
bn:00110677a	01656253a
bn:00110678a	02797907a
bn:00110679a	00494622a
bn:00110680a	02183421a
bn:00110681a	02182862a
bn:00110682a	02215087a
bn:00110683a	00743742a
bn:00110684a	00743435a
bn:00110685a	02029568a
bn:00110686a	00743869a
bn:00110687a	02964904a
bn:00110688a	02213748a
bn:00110689a	01631217a
bn:00110690a	03153755a
bn:00110691a	02316992a
bn:00110692a	02245108a
bn:00110693a	02317145a
bn:00110694a	02798014a
bn:00110695a	00500024a
bn:00110696a	00291665a
bn:00110697a	02798167a
bn:00110698a	00837868a
bn:00110699a	01565139a
bn:00110700a	01811277a
bn:00110701a	00238564a
bn:00110702a	00935359a
bn:00110703a	02224362a
bn:00110704a	02222053a
bn:00110705a	02225287a
bn:00110706a	01249962a
bn:00110707a	02935725a
bn:00110708a	00525105a
bn:00110709a	01235706a
bn:00110710a	00954864a
bn:00110711a	02225510a
bn:00110712a	00993316a
bn:00110713a	01875437a
bn:00110714a	01448058a
bn:00110715a	02597781a
bn:00110716a	02597496a
bn:00110717a	03027538a
bn:00110718a	02935913a
bn:00110719a	01448178a
bn:00110720a	01241455a
bn:00110721a	00098147a
bn:00110722a	02512794a
bn:00110723a	01046784a
bn:00110724a	01267632a
bn:00110725a	01790348a
bn:00110726a	00663981a
bn:00110727a	00810355a
bn:00110728a	00391806a
bn:00110729a	00391897a
bn:00110730a	03118661a
bn:00110731a	01066441a
bn:00110732a	00791044a
bn:00110733a	03118790a
bn:00110734a	01689775a
bn:00110735a	00790691a
bn:00110736a	02414908a
bn:00110737a	02427981a
bn:00110738a	00189017a
bn:00110739a	01079396a
bn:00110740a	02256868a
bn:00110741a	02257038a
bn:00110742a	00990855a
bn:00110743a	02562566a
bn:00110744a	02415025a
bn:00110745a	01394744a
bn:00110746a	00628881a
bn:00110747a	00991189a
bn:00110748a	02567918a
bn:00110749a	00317727a
bn:00110750a	02235520a
bn:00110751a	02423865a
bn:00110752a	02235740a
bn:00110753a	02235826a
bn:00110754a	02149695a
bn:00110755a	02156505a
bn:00110756a	02234781a
bn:00110757a	02466734a
bn:00110758a	02235994a
bn:00110759a	02236146a
bn:00110760a	02801349a
bn:00110761a	01144730a
bn:00110762a	02426420a
bn:00110763a	02550170a
bn:00110764a	02426550a
bn:00110765a	02964482a
bn:00110766a	02964291a
bn:00110767a	00980527a
bn:00110768a	00982602a
bn:00110769a	00983722a
bn:00110770a	00981612a
bn:00110771a	00885594a
bn:00110772a	00981703a
bn:00110773a	03153849a
bn:00110774a	01922410a
bn:00110775a	00189253a
bn:00110776a	02025885a
bn:00110777a	01337314a
bn:00110778a	01080060a
bn:00110779a	01554940a
bn:00110780a	02233680a
bn:00110781a	03118960a
bn:00110782a	00812785a
bn:00110783a	01082456a
bn:00110784a	01395095a
bn:00110785a	02255840a
bn:00110786a	02439225a
bn:00110787a	02567999a
bn:00110788a	01395028a
bn:00110789a	00438707a
bn:00110790a	01513376a
bn:00110791a	00980144a
bn:00110792a	00182718a
bn:00110793a	00071242a
bn:00110794a	00462741a
bn:00110795a	01073435a
bn:00110796a	02234388a
bn:00110797a	02234673a
bn:00110798a	02234485a
bn:00110799a	02234281a
bn:00110800a	02233927a
bn:00110801a	02398928a
bn:00110802a	00116058a
bn:00110803a	02236842a
bn:00110804a	02244619a
bn:00110805a	02243411a
bn:00110806a	00750926a
bn:00110807a	00628988a
bn:00110808a	00215745a
bn:00110809a	02596728a
bn:00110810a	02597617a
bn:00110811a	02248204a
bn:00110812a	01359771a
bn:00110813a	01316808a
bn:00110814a	01697425a
bn:00110815a	00268383a
bn:00110816a	00423001a
bn:00110817a	00215834a
bn:00110818a	01138770a
bn:00110819a	02280680a
bn:00110820a	00976016a
bn:00110821a	02090228a
bn:00110822a	02319346a
bn:00110823a	00907400a
bn:00110824a	02546624a
bn:00110825a	02473757a
bn:00110826a	00423269a
bn:00110827a	02160465a
bn:00110828a	02798267a
bn:00110829a	01697592a
bn:00110830a	00392093a
bn:00110831a	00559031a
bn:00110832a	01698231a
bn:00110833a	01437268a
bn:00110834a	01885991a
bn:00110835a	01399096a
bn:00110836a	01212346a
bn:00110837a	00799517a
bn:00110838a	02120150a
bn:00110839a	01268636a
bn:00110840a	02257141a
bn:00110841a	00560900a
bn:00110842a	02798370a
bn:00110843a	02248349a
bn:00110844a	02798597a
bn:00110845a	02258360a
bn:00110846a	02252877a
bn:00110847a	01076634a
bn:00110848a	00576423a
bn:00110849a	00298041a
bn:00110850a	02666132a
bn:00110851a	02872654a
bn:00110852a	02717021a
bn:00110853a	02842981a
bn:00110854a	02906206a
bn:00110855a	02799173a
bn:00110856a	03033636a
bn:00110857a	02549032a
bn:00110858a	01152746a
bn:00110859a	01156112a
bn:00110860a	01454636a
bn:00110861a	02286083a
bn:00110862a	01459295a
bn:00110863a	01156925a
bn:00110864a	02487540a
bn:00110865a	01914767a
bn:00110866a	00760473a
bn:00110867a	00284400a
bn:00110868a	01158453a
bn:00110869a	00618752a
bn:00110870a	02798806a
bn:00110871a	01456487a
bn:00110872a	00215929a
bn:00110873a	02798901a
bn:00110874a	01456572a
bn:00110875a	01541567a
bn:00110876a	00850983a
bn:00110877a	01832491a
bn:00110878a	02799301a
bn:00110879a	02799016a
bn:00110880a	02259239a
bn:00110881a	00622468a
bn:00110882a	02259540a
bn:00110883a	02259817a
bn:00110884a	02259966a
bn:00110885a	00544860a
bn:00110886a	00164681a
bn:00110887a	01125006a
bn:00110888a	02260035a
bn:00110889a	02263680a
bn:00110890a	01200339a
bn:00110891a	00291181a
bn:00110892a	02275412a
bn:00110893a	00658166a
bn:00110894a	00434597a
bn:00110895a	02273952a
bn:00110896a	02120276a
bn:00110897a	01993693a
bn:00110898a	00784215a
bn:00110899a	01786026a
bn:00110900a	02489667a
bn:00110901a	02261162a
bn:00110902a	02261013a
bn:00110903a	02252480a
bn:00110904a	02799446a
bn:00110905a	02265015a
bn:00110906a	02266145a
bn:00110907a	02026312a
bn:00110908a	03119182a
bn:00110909a	01779792a
bn:00110910a	02799595a
bn:00110911a	02267308a
bn:00110912a	01554063a
bn:00110913a	01552634a
bn:00110914a	01678586a
bn:00110915a	00175528a
bn:00110916a	00174150a
bn:00110917a	00392184a
bn:00110918a	00477896a
bn:00110919a	00423431a
bn:00110920a	02999616a
bn:00110921a	02500736a
bn:00110922a	02270342a
bn:00110923a	01333609a
bn:00110924a	01215028a
bn:00110925a	01214842a
bn:00110926a	00031384a
bn:00110927a	01178231a
bn:00110928a	01364008a
bn:00110929a	02224509a
bn:00110930a	02799689a
bn:00110931a	03119441a
bn:00110932a	00618865a
bn:00110933a	03154886a
bn:00110934a	02527588a
bn:00110935a	00588535a
bn:00110936a	01561429a
bn:00110937a	00856651a
bn:00110938a	02107991a
bn:00110939a	02273326a
bn:00110940a	02275209a
bn:00110941a	02037152a
bn:00110942a	00523786a
bn:00110943a	01457871a
bn:00110944a	00174243a
bn:00110945a	01775420a
bn:00110946a	02416898a
bn:00110947a	02368787a
bn:00110948a	02399014a
bn:00110949a	02369763a
bn:00110950a	01602330a
bn:00110951a	01602797a
bn:00110952a	01605569a
bn:00110953a	02928926a
bn:00110954a	02928728a
bn:00110955a	02968166a
bn:00110956a	01602683a
bn:00110957a	01603649a
bn:00110958a	01603518a
bn:00110959a	00827743a
bn:00110960a	01603789a
bn:00110961a	01603179a
bn:00110962a	01602966a
bn:00110963a	01606648a
bn:00110964a	01605081a
bn:00110965a	01603354a
bn:00110966a	01604000a
bn:00110967a	01603869a
bn:00110968a	00826215a
bn:00110969a	01604146a
bn:00110970a	00792641a
bn:00110971a	02959406a
bn:00110972a	01655783a
bn:00110973a	00609938a
bn:00110974a	00437419a
bn:00110975a	02841066a
bn:00110976a	00528333a
bn:00110977a	02150029a
bn:00110978a	02958576a
bn:00110979a	00500126a
bn:00110980a	00991301a
bn:00110981a	01582306a
bn:00110982a	02299748a
bn:00110983a	02224588a
bn:00110984a	00542359a
bn:00110985a	02972690a
bn:00110986a	01991462a
bn:00110987a	03119608a
bn:00110988a	02546713a
bn:00110989a	02811081a
bn:00110990a	02170821a
bn:00110991a	01020007a
bn:00110992a	02137205a
bn:00110993a	00943831a
bn:00110994a	00152896a
bn:00110995a	01678729a
bn:00110996a	02278011a
bn:00110997a	02277607a
bn:00110998a	02799988a
bn:00110999a	02278195a
bn:00111000a	01273033a
bn:00111001a	01103021a
bn:00111002a	01099951a
bn:00111003a	02989316a
bn:00111004a	01105233a
bn:00111005a	01099536a
bn:00111006a	02462210a
bn:00111007a	00795246a
bn:00111008a	02800132a
bn:00111009a	02800291a
bn:00111010a	02918132a
bn:00111011a	02918271a
bn:00111012a	00150835a
bn:00111013a	01086042a
bn:00111014a	02800529a
bn:00111015a	02800427a
bn:00111016a	02800689a
bn:00111017a	02800941a
bn:00111018a	03119811a
bn:00111019a	01057270a
bn:00111020a	02150130a
bn:00111021a	02344381a
bn:00111022a	01811352a
bn:00111023a	01811430a
bn:00111024a	02884456a
bn:00111025a	00991481a
bn:00111026a	02431351a
bn:00111027a	02278842a
bn:00111028a	00146128a
bn:00111029a	02364834a
bn:00111030a	01023010a
bn:00111031a	02248011a
bn:00111032a	02278738a
bn:00111033a	00200760a
bn:00111034a	00259098a
bn:00111035a	03119937a
bn:00111036a	01703237a
bn:00111037a	00321770a
bn:00111038a	02596810a
bn:00111039a	02278939a
bn:00111040a	02281325a
bn:00111041a	01159217a
bn:00111042a	02579136a
bn:00111043a	00631193a
bn:00111044a	02911876a
bn:00111045a	02862964a
bn:00111046a	00542501a
bn:00111047a	02801037a
bn:00111048a	01697770a
bn:00111049a	01032978a
bn:00111050a	01032710a
bn:00111051a	00709625a
bn:00111052a	00662529a
bn:00111053a	01138902a
bn:00111054a	02283703a
bn:00111055a	03120034a
bn:00111056a	01154964a
bn:00111057a	00007516a
bn:00111058a	02150220a
bn:00111059a	00593374a
bn:00111060a	02598110a
bn:00111061a	02801641a
bn:00111062a	02801839a
bn:00111063a	00066565a
bn:00111064a	02801749a
bn:00111065a	00033475a
bn:00111066a	02801964a
bn:00111067a	01432202a
bn:00111068a	03153960a
bn:00111069a	01844858a
bn:00111070a	01432318a
bn:00111071a	01790507a
bn:00111072a	02280821a
bn:00111073a	02802092a
bn:00111074a	00845928a
bn:00111075a	00845025a
bn:00111076a	00036346a
bn:00111077a	02491421a
bn:00111078a	01845921a
bn:00111079a	02388070a
bn:00111080a	01924148a
bn:00111081a	00305882a
bn:00111082a	02241443a
bn:00111083a	01450293a
bn:00111084a	02043217a
bn:00111085a	02318464a
bn:00111086a	01709681a
bn:00111087a	00766102a
bn:00111088a	00607857a
bn:00111089a	02039763a
bn:00111090a	02597329a
bn:00111091a	01093850a
bn:00111092a	02049243a
bn:00111093a	00320456a
bn:00111094a	01032339a
bn:00111095a	02043729a
bn:00111096a	02043806a
bn:00111097a	03154143a
bn:00111098a	01207697a
bn:00111099a	02313676a
bn:00111100a	01655651a
bn:00111101a	02799797a
bn:00111102a	02799877a
bn:00111103a	02224688a
bn:00111104a	01162901a
bn:00111105a	02291632a
bn:00111106a	02291754a
bn:00111107a	01197737a
bn:00111108a	02290998a
bn:00111109a	02274089a
bn:00111110a	01930417a
bn:00111111a	00894551a
bn:00111112a	00348018a
bn:00111113a	03154289a
bn:00111114a	00071427a
bn:00111115a	02294440a
bn:00111116a	00796715a
bn:00111117a	02802220a
bn:00111118a	02802341a
bn:00111119a	00402004a
bn:00111120a	01713713a
bn:00111121a	00247247a
bn:00111122a	01068726a
bn:00111123a	02802476a
bn:00111124a	02300786a
bn:00111125a	01991586a
bn:00111126a	00264262a
bn:00111127a	00523867a
bn:00111128a	01237534a
bn:00111129a	02295998a
bn:00111130a	00487525a
bn:00111131a	02294777a
bn:00111132a	01960076a
bn:00111133a	02296950a
bn:00111134a	01855086a
bn:00111135a	01237433a
bn:00111136a	01755508a
bn:00111137a	01241065a
bn:00111138a	01240235a
bn:00111139a	01239862a
bn:00111140a	01970963a
bn:00111141a	02802576a
bn:00111142a	02802694a
bn:00111143a	00901826a
bn:00111144a	02032850a
bn:00111145a	02299366a
bn:00111146a	02299048a
bn:00111147a	01535583a
bn:00111148a	00459953a
bn:00111149a	02300101a
bn:00111150a	02299889a
bn:00111151a	02300002a
bn:00111152a	02299437a
bn:00111153a	01664310a
bn:00111154a	01354430a
bn:00111155a	01009865a
bn:00111156a	02359051a
bn:00111157a	02359958a
bn:00111158a	02301338a
bn:00111159a	01237656a
bn:00111160a	01876780a
bn:00111161a	01862161a
bn:00111162a	02386418a
bn:00111163a	00753093a
bn:00111164a	00528629a
bn:00111165a	01565252a
bn:00111166a	01060445a
bn:00111167a	02911627a
bn:00111168a	00041841a
bn:00111169a	02896383a
